case ID,resource,activity name,Sitter,new,start time,stop time,message count,query,Query.complexity,message,Notes
35,A_User,A:Query repeat,U|request,Query,10:55.2,10:55.7,3,Where does cinnamon come from?,remember,Europe,
36,A_User,A:Initial information request,U|request,Query,19:59.8,20:07.0,1,per capita alcohol consumption,analyze,can you start with alcohol consumption uhm... in different kind countries,
36,B_Receiver,B:SERP with modification + Suggestion,A|assert,Response,20:11.9,20:19.1,2,per capita alcohol consumption,analyze,I have scholar articles as well as alcohol consumption per capita... would you like to see more of that,
37,A_User,A:Initial information request,U|request,Query,00:12.6,00:17.0,1,Turkey Iraq Water,analyze,search for rivers in turkey and Iraq,
37,B_Receiver,B:Asks to repeat,A|request*,Request,00:17.2,00:18.1,2,Turkey Iraq Water,analyze,Rivers,
37,A_User,A:Query repeat,U|request,Query,00:18.4,00:25.6,3,Turkey Iraq Water,analyze,rivers in turkey and Iraq so that is R I V E R S,
38,A_User,A:Initial information request,U|request,Query,10:08.1,10:11.0,1,"What river runs through Rome, Italy?",remember,the first search is rivers in rome,
38,B_Receiver,B:Query refinement offer,A|offer,Request,10:12.1,10:15.0,2,"What river runs through Rome, Italy?",remember,yep... do you want the names of the rivers,
38,A_User,A:Intent clarification,U|request,Query,10:15.2,10:19.5,3,"What river runs through Rome, Italy?",remember,No just... just do a search on the rivers in rome,
39,A_User,A:Initial information request,U|request,Query,14:56.5,15:09.9,1,Marine Vegetation,understand,Ok uhm... in this case I want you to put an end between each word... and they are health... algae... A G... I am sorry A L G A E,
39,B_Receiver,B:Asks to repeat,A|request*,Request,15:11.1,15:14.5,2,Marine Vegetation,understand,I am in a deadlock can you,
39,A_User,A:Query embellishment,U|request,Query,15:14.7,15:32.1,3,Marine Vegetation,understand,sure it's health and algae A L G A E and seaweed and kelp,
